time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.airspeed,.groundspeed,.heading,.throttle,.altitude,.climb
2023/04/21/09:46:57.540841,6835,1682088367,945683943,,3.3876445293426514,0.04342573881149292,320,0.0,290.7316589355469,0.0003812406794168055
2023/04/21/09:46:57.540929,6836,1682088368,45771862,,3.3860971927642822,0.041347019374370575,320,0.0,290.73529052734375,0.0012854819651693106
2023/04/21/09:46:57.541011,6837,1682088368,140053893,,3.3865952491760254,0.041157979518175125,320,0.0,290.7324523925781,-0.0010403667110949755
2023/04/21/09:46:57.541025,6838,1682088368,341175835,,3.3874049186706543,0.041648779064416885,320,0.0,290.7294921875,-0.00328276795335114
2023/04/21/09:46:57.541037,6839,1682088368,438070642,,3.386533737182617,0.04068317636847496,320,0.0,290.724365234375,-0.006936303339898586
2023/04/21/09:46:57.541202,6840,1682088368,443897392,,3.386547803878784,0.04062635824084282,320,0.0,290.7210998535156,-0.008672843687236309
2023/04/21/09:46:57.541228,6841,1682088368,539201489,,3.387629985809326,0.04141426458954811,320,0.0,290.7212219238281,-0.008918686769902706
2023/04/21/09:46:57.541239,6842,1682088368,641275105,,3.387221336364746,0.04095570370554924,320,0.0,290.72174072265625,-0.009499529376626015
2023/04/21/09:46:57.541328,6843,1682088368,745492975,,3.3839173316955566,0.036721471697092056,320,0.0,290.726318359375,-0.007816001772880554
2023/04/21/09:46:57.541339,6844,1682088368,843666880,,3.3805253505706787,0.03376803919672966,320,0.0,290.72857666015625,-0.007472677621990442
2023/04/21/09:46:57.541425,6845,1682088368,942291983,,3.379234790802002,0.03257198631763458,320,0.0,290.72637939453125,-0.009633942507207394
2023/04/21/09:46:57.541506,6846,1682088369,136425134,,3.3794398307800293,0.03282104805111885,320,0.0,290.72418212890625,-0.010499062016606331
2023/04/21/09:46:57.541578,6847,1682088369,150782897,,3.3781025409698486,0.03147337958216667,320,0.0,290.7213134765625,-0.01186289545148611
2023/04/21/09:46:57.541589,6848,1682088369,243590293,,3.3779284954071045,0.031357016414403915,320,0.0,290.719970703125,-0.012545395642518997
2023/04/21/09:46:57.541672,6849,1682088369,345478468,,3.3785645961761475,0.03205174580216408,320,0.0,290.72247314453125,-0.01149084884673357
2023/04/21/09:46:57.541684,6850,1682088369,441902567,,3.3784339427948,0.031786516308784485,320,0.0,290.7237854003906,-0.011177119798958302
2023/04/21/09:46:57.541695,6851,1682088369,537237050,,3.3776679039001465,0.030926886945962906,320,0.0,290.72332763671875,-0.011785668320953846
2023/04/21/09:46:57.541835,6852,1682088369,643554949,,3.3767006397247314,0.029898442327976227,320,0.0,290.7235412597656,-0.012314277701079845
2023/04/21/09:46:57.541917,6853,1682088369,736470082,,3.3776488304138184,0.03094281442463398,320,0.0,290.73052978515625,-0.008758245036005974
2023/04/21/09:46:57.541928,6854,1682088369,836630091,,3.378932476043701,0.03226795047521591,320,0.0,290.7354431152344,-0.007158909924328327
2023/04/21/09:46:57.542011,6855,1682088369,935296307,,3.3786797523498535,0.03199854865670204,320,0.0,290.73828125,-0.006100807338953018
2023/04/21/09:46:57.542095,6856,1682088370,38999170,,3.3793020248413086,0.03269524127244949,320,0.0,290.7386169433594,-0.006116501055657864
2023/04/21/09:46:57.542208,6857,1682088370,135883602,,3.3786542415618896,0.032010532915592194,320,0.0,290.73297119140625,-0.008684593252837658
2023/04/21/09:46:57.542229,6858,1682088370,235735593,,3.378425359725952,0.03179061412811279,320,0.0,290.7278747558594,-0.010974911972880363
2023/04/21/09:46:57.542291,6859,1682088370,336619747,,3.3777105808258057,0.031087452545762062,320,0.0,290.7218933105469,-0.012872562743723392
