time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2023/04/21/09:42:02.339174,11244,1682088066,280055232,map,107.21604919433594,-217.52362060546875,81.68942260742188,-0.3599257095968936,-0.01344352758595929,0.4364725735180002,0.8244783575174737
2023/04/21/09:42:02.339293,11245,1682088066,320055232,map,107.74142456054688,-217.27871704101562,81.6016616821289,-0.3572187439575844,-0.023022283993878706,0.4552123056979748,0.8152585868917459
2023/04/21/09:42:02.339379,11246,1682088066,350153792,map,108.1080551147461,-217.09959411621094,81.5371322631836,-0.34706569459185554,-0.04389538427835343,0.47863898870331545,0.8053094545158248
2023/04/21/09:42:02.339464,11247,1682088066,381153792,map,108.47063446044922,-216.91322326660156,81.47163391113281,-0.33996229635396585,-0.05660502986461671,0.4899074965617336,0.8007572998487088
2023/04/21/09:42:02.339549,11248,1682088066,422153792,map,108.97595977783203,-216.6345672607422,81.37925720214844,-0.3244745517848191,-0.08233820969142816,0.5102972673241976,0.7921701639558416
2023/04/21/09:42:02.339643,11249,1682088066,450246464,map,109.32666778564453,-216.4344024658203,81.31781768798828,-0.3076779262984544,-0.10628690248900051,0.5266104684581423,0.7853145470403474
2023/04/21/09:42:02.339730,11250,1682088066,481246464,map,109.67438507080078,-216.23545837402344,81.26019287109375,-0.29950519929357056,-0.11700972456303597,0.53345912060692,0.7823214042996492
2023/04/21/09:42:02.339816,11251,1682088066,520246464,map,110.15396118164062,-215.93756103515625,81.1825942993164,-0.2837706901947486,-0.13694087966178467,0.5444346973314753,0.7773753557230624
2023/04/21/09:42:02.339835,11252,1682088066,552246464,map,110.4882583618164,-215.7154541015625,81.13090515136719,-0.26895681578137437,-0.15394411426790583,0.5527631569416069,0.773573804817789
2023/04/21/09:42:02.339914,11253,1682088066,580246464,map,110.80935668945312,-215.4906005859375,81.08319091796875,-0.2608812636040885,-0.16138396552910192,0.5562040256540364,0.7723557608958241
2023/04/21/09:42:02.340000,11254,1682088066,620246464,map,111.25146484375,-215.16104125976562,81.02000427246094,-0.24556688746211325,-0.17404203654367806,0.5628710459591564,0.7697938436356652
2023/04/21/09:42:02.340096,11255,1682088066,651341952,map,111.55844116210938,-214.9293212890625,80.97927856445312,-0.2353173586917869,-0.1831375003080791,0.5688170390533762,0.7665074852698767
2023/04/21/09:42:02.340185,11256,1682088066,683341952,map,111.88970184326172,-214.68295288085938,80.93912506103516,-0.2337901307575022,-0.18532436856840778,0.5716562825767368,0.7643339090718971
2023/04/21/09:42:02.340277,11257,1682088066,722341952,map,112.28707885742188,-214.37440490722656,80.89240264892578,-0.2389143445994567,-0.18356482193677498,0.5767355257313302,0.7593418256000243
2023/04/21/09:42:02.340366,11258,1682088066,750434112,map,112.57740020751953,-214.13739013671875,80.8580551147461,-0.2559421086714112,-0.1726858615940748,0.5808191338835507,0.7532081104425368
2023/04/21/09:42:02.340628,11259,1682088066,784434112,map,112.88478088378906,-213.8740997314453,80.81964874267578,-0.2764289251867495,-0.15796473395502683,0.5838859651205142,0.746800888579994
2023/04/21/09:42:02.340734,11260,1682088066,810434112,map,113.1640853881836,-213.6284637451172,80.7815170288086,-0.2923219907296694,-0.1462979857933853,0.5862325067164263,0.741266780831203
2023/04/21/09:42:02.340828,11261,1682088066,854533696,map,113.53294372558594,-213.29945373535156,80.72525787353516,-0.31593230228561603,-0.12763112024613002,0.5913309003453119,0.7309069432216115
2023/04/21/09:42:02.340951,11262,1682088066,882533696,map,113.83284759521484,-213.0350799560547,80.67510986328125,-0.3260044929224767,-0.11937566951433143,0.5948277927561244,0.7250176271019266
2023/04/21/09:42:02.340969,11263,1682088066,920533696,map,114.19840240478516,-212.70654296875,80.6033935546875,-0.3395978841650285,-0.10861774965219849,0.6046486775403828,0.712232723049291
2023/04/21/09:42:02.341040,11264,1682088066,952635584,map,114.46873474121094,-212.4562530517578,80.54155731201172,-0.3425424948096664,-0.10706276274981329,0.6191081944223675,0.698503695345697
2023/04/21/09:42:02.341130,11265,1682088066,984635584,map,114.7563247680664,-212.1802520751953,80.46942138671875,-0.3409507663920918,-0.10970567571609806,0.6254933840198513,0.6931632418291013
2023/04/21/09:42:02.341223,11266,1682088067,22635584,map,115.10223388671875,-211.8367156982422,80.37578582763672,-0.33021514221282117,-0.12757549694280773,0.6460692910704076,0.6762225847563067
2023/04/21/09:42:02.341319,11267,1682088067,51726976,map,115.35285186767578,-211.57626342773438,80.30554962158203,-0.31552006396033094,-0.15165629903703748,0.6632554453039718,0.661467797919639
2023/04/21/09:42:02.341419,11268,1682088067,84726976,map,115.61273956298828,-211.29147338867188,80.23346710205078,-0.3092031048422303,-0.16085247796431137,0.669079552017204,0.6563934836414156
2023/04/21/09:42:02.341529,11269,1682088067,121726976,map,115.91625213623047,-210.93565368652344,80.1485824584961,-0.29009151628620017,-0.18759690293251294,0.6833045223457702,0.6432334798810226
2023/04/21/09:42:02.341624,11270,1682088067,153827584,map,116.14778137207031,-210.640869140625,80.0821304321289,-0.27570734479846265,-0.2085958537066412,0.6920449226190691,0.6336773695016438
2023/04/21/09:42:02.341714,11271,1682088067,185827584,map,116.34947967529297,-210.36624145507812,80.02531433105469,-0.2702629202749467,-0.21566031879321895,0.6945948280274026,0.6308619389476918
2023/04/21/09:42:02.341969,11272,1682088067,220827584,map,116.59932708740234,-209.9958953857422,79.95637512207031,-0.2557177135815832,-0.23314969358931095,0.7009939445241412,0.623584229246895
2023/04/21/09:42:02.341988,11273,1682088067,254931008,map,116.78996276855469,-209.6983642578125,79.90669250488281,-0.2462930649026561,-0.24608020142107118,0.705584192039777,0.6171995375090594
